monomial,,bound
Expexted((23*x/9 + y)**2),<=,23*x0**2/9 + 46*x0*y0/9 + 322*x0/27 + 23*y0**2/9 + 1288/81
Expexted((23*x/9 + y)**2),>=,0
Expexted((9*k/40 + x)**2),<=,3097*x0**2/2800 + 253*x0*y0/140 + 11173*x0/2400 + 253*y0**2/280 + 56239/7200
Expexted((9*k/40 + x)**2),>=,0
Expexted((k + 2*x)**2),<=,4*x0**2 + 2*x0/3 + 2/3
Expexted((k + 2*x)**2),>=,2*x0*(6*x0 + 1)/3
Expexted((k/4 + x)**2),<=,15*x0**2/14 + 23*x0*y0/14 + 35*x0/8 + 23*y0**2/28 + 539/72
Expexted((k/4 + x)**2),>=,0
Expexted((x + 11*y/20)**2),<=,5863*x0**2/5600 + 5863*x0*y0/2800 + 6943*x0/1200 + 5863*y0**2/5600 + 6983/900
Expexted((x + 11*y/20)**2),>=,0
Expexted((x + y)**2),<=,x0**2 + 2*x0*y0 + 14*x0/3 + y0**2 + 14/3
Expexted((x + y)**2),>=,x0**2 + 2*x0*y0 + 14*x0/3 + y0**2
Expexted((x + y/2)**2),<=,51*x0**2/56 + 51*x0*y0/28 + 21*x0/4 + 51*y0**2/56 + 65/9
Expexted((x + y/2)**2),>=,0
Expexted(k),<=,2*x0 + 2
Expexted(k),>=,2*x0
Expexted(k**2),<=,4*x0**2 + 26*x0/3 + 26/3
Expexted(k**2),>=,4*x0**2 + 2*x0/3 - 4
Expexted(k*x),<=,0
Expexted(k*x),>=,-2*x0 - 2
Expexted(k*y),<=,2*sqrt(42)*sqrt(x0)/3 + 2*x0**2 + 2*x0*y0 + 14*x0/3 + 2*Abs(y0) + 2*sqrt(42)/3 + 14/3
Expexted(k*y),>=,-2*sqrt(42)*sqrt(x0)/3 + 2*x0**2 + 2*x0*y0 - 4*x0/3 - 2*Abs(y0) - 2*sqrt(42)/3 - 2
Expexted(x),<=,0
Expexted(x),>=,-1
Expexted(x**2),<=,1
Expexted(x**2),>=,0
Expexted(x*y),<=,sqrt(42)*sqrt(x0)/3 + x0 + Abs(y0) + sqrt(42)/3
Expexted(x*y),>=,-sqrt(42)*sqrt(x0)/3 - x0 - Abs(y0) - sqrt(42)/3 - 1
Expexted(y),<=,x0 + y0 + 1
Expexted(y),>=,x0 + y0
Expexted(y**2),<=,2*sqrt(42)*sqrt(x0)/3 + x0**2 + 2*x0*y0 + 20*x0/3 + y0**2 + 2*Abs(y0) + 2*sqrt(42)/3 + 20/3
Expexted(y**2),>=,-2*sqrt(42)*sqrt(x0)/3 + x0**2 + 2*x0*y0 + 8*x0/3 + y0**2 - 2*Abs(y0) - 2*sqrt(42)/3 - 1
Expexted(z),<=,2*sqrt(42)*sqrt(x0)/3 + x0**2 + 2*x0*y0 - x0 + z0 + 2*Abs(y0) + 2 + 2*sqrt(42)/3
Expexted(z),>=,-2*sqrt(42)*sqrt(x0)/3 + x0**2 + 2*x0*y0 - 5*x0 + z0 - 2*Abs(y0) - 2*sqrt(42)/3 - 4
k,>=,1
k**2,>=,1
k*x,<=,0
x,<=,0
x,>=,-1
x**2,<=,1
x**2,>=,0
y**2,>=,0
